Transaction Date,Post Date,Description,Category,Type,Amount,Memo
5/4/21,5/6/21,THE HOME DEPOT 6689,Home,Sale,30.64,
8/13/21,8/15/21,SQ *PLENTY,Food & Drink,Sale,31.06,
12/29/21,12/29/21,APPLE.COM/US,Shopping,Sale,31.18,
6/2/21,6/3/21,KOONTZ HARDWARE,Home,Sale,31.29,
9/12/21,9/14/21,ARCO#83819TRINITY PARKWA,Gas,Sale,31.87,
7/20/21,7/21/21,ZORO TOOLS INC,Home,Sale,32.04,
5/1/21,5/2/21,eBay O*13-06990-75868,Shopping,Sale,32.04,
4/4/21,4/5/21,PAYPAL *CHINATWNCDC,Gifts & Donations,Sale,32.07,
6/10/21,6/10/21,NATURALLYFORHER.COM,Shopping,Sale,32.71,
5/5/21,5/6/21,SMART AND FINAL 735,Groceries,Sale,32.75,
4/7/21,4/9/21,CO-OPPORTUNITY,Groceries,Sale,33.32,
9/24/21,9/26/21,TRADER JOE'S #037  QPS,Groceries,Sale,33.45,
4/21/21,4/23/21,HOMEDEPOT.COM,Home,Sale,33.7,
4/20/21,4/22/21,NORTON ELECTRIC WHOLESALE,Home,Sale,33.95,
6/21/21,6/22/21,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,34.14,
9/8/21,9/10/21,CO-OPPORTUNITY,Groceries,Sale,34.6,
3/8/21,3/9/21,NATURALLYFORHER.COM,Shopping,Sale,34.64,
9/5/21,9/6/21,AMZN Mktp US*258DV3PF2,Shopping,Sale,35.05,
3/31/21,4/2/21,CO-OPPORTUNITY,Groceries,Sale,35.1,
9/24/21,9/26/21,SHELL OIL 57444087902,Gas,Sale,35.89,
11/30/21,12/1/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
11/1/21,11/2/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
9/30/21,10/1/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
8/31/21,9/1/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
8/2/21,8/3/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
7/1/21,7/2/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
6/1/21,6/2/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
5/11/21,5/12/21,KAISER/HPS,Bills & Utilities,Sale,36.21,
8/18/21,8/20/21,CO-OPPORTUNITY,Groceries,Sale,37.93,
6/22/21,6/23/21,AMZN Mktp US*213Z489B1,Shopping,Sale,38.18,
4/28/21,4/29/21,FERGUSON ENT #699,Home,Sale,38.32,
12/30/21,12/31/21,TRADER JOE'S #206  QPS,Groceries,Sale,38.44,
1/20/21,1/22/21,CO-OPPORTUNITY,Groceries,Sale,38.53,
12/4/21,12/5/21,VCI*VITACOST.COM,Groceries,Sale,38.73,
9/10/21,9/12/21,SHELL OIL 57445932007,Gas,Sale,38.9,
9/8/21,9/8/21,CONSUMER REPORTS  INC.,Bills & Utilities,Sale,39,
6/11/21,6/13/21,LASSENS NATURAL FOODS-EP,Groceries,Sale,39.12,
7/30/21,8/1/21,THE EXPLORATORIUM,Entertainment,Sale,39.9,
10/10/21,10/11/21,SQ *VALERIE ECHO PARK,Food & Drink,Sale,40,
3/10/21,3/10/21,eBay O*02-06712-27188,Shopping,Sale,40.37,
9/4/21,9/5/21,AMZN Mktp US*2515E8U50,Shopping,Sale,41.56,
5/5/21,5/7/21,CO-OPPORTUNITY,Groceries,Sale,42,
9/29/21,10/1/21,CO-OPPORTUNITY,Groceries,Sale,42.61,
4/7/21,4/8/21,FERGUSON ENT #699,Home,Sale,42.68,
6/16/21,6/18/21,SMART AND FINAL 315,Groceries,Sale,43.32,
4/20/21,4/22/21,THE HOME DEPOT 6689,Home,Sale,43.73,
3/6/21,3/7/21,WALGREENS #9136,Health & Wellness,Sale,43.79,
5/26/21,5/27/21,SMART AND FINAL 735,Groceries,Sale,44.32,
3/5/21,3/7/21,SP * OLYMPIA COFFEE,Groceries,Sale,44.33,
12/8/21,12/9/21,eBay O*04-07982-44691,Shopping,Sale,44.63,
8/18/21,8/18/21,SPECTRUM,Bills & Utilities,Sale,44.99,
10/27/21,10/29/21,CO-OPPORTUNITY,Groceries,Sale,45,
9/23/21,9/26/21,REI #17 TUSTIN,Shopping,Sale,46.11,
9/15/21,9/17/21,CO-OPPORTUNITY,Groceries,Sale,46.46,
7/25/21,7/27/21,EREWHON LOS ANGELES,Groceries,Sale,46.51,
11/22/21,11/23/21,POSHMARK,Shopping,Sale,46.72,
11/12/21,11/14/21,KOONTZ HARDWARE,Home,Sale,46.74,
1/21/21,1/22/21,SP * OLYMPIA COFFEE,Groceries,Sale,47.28,
6/26/21,6/28/21,THE HOME DEPOT 6680,Home,Sale,49.53,
7/31/21,8/1/21,SFMOMA ADMISSIONS,Entertainment,Sale,50,
10/4/21,10/5/21,Etsy.com - LoftAtticEarth,Shopping,Sale,51.55,
9/1/21,9/3/21,CO-OPPORTUNITY,Groceries,Sale,51.6,
9/7/21,9/8/21,WESTELM.COM,Home,Sale,52,
3/4/21,3/5/21,VCI*VITACOST.COM,Groceries,Sale,53.45,
2/10/21,2/12/21,CO-OPPORTUNITY,Groceries,Sale,53.67,
11/17/21,11/18/21,ORGANIC PASTURES DAIRY C,Food & Drink,Sale,54,
10/20/21,10/21/21,ORGANIC PASTURES DAIRY C,Food & Drink,Sale,54,
10/13/21,10/15/21,CO-OPPORTUNITY,Groceries,Sale,54.92,
3/8/21,3/10/21,FAT*EFOODHANDLERS,Education,Sale,55,
10/20/21,10/22/21,CO-OPPORTUNITY,Groceries,Sale,56,
12/29/21,12/30/21,PROTONMAIL,Shopping,Sale,56.68,
9/22/21,9/24/21,VOLKSWAGEN SANTA MONIC,Automotive,Sale,56.97,
8/1/21,8/2/21,WHOLEFDS SLK#10658,Groceries,Sale,56.99,
9/11/21,9/13/21,IN *NC HABITAT RESTORE,Shopping,Sale,57.89,
5/6/21,5/6/21,VCI*VITACOST.COM,Groceries,Sale,57.96,
5/26/21,5/28/21,CO-OPPORTUNITY,Groceries,Sale,58.41,
10/8/21,10/8/21,PAYPAL *NORTHBOUND,Groceries,Sale,59,
4/19/21,4/20/21,VCI*VITACOST.COM,Groceries,Sale,59.35,
12/18/21,12/19/21,SPECTRUM,Bills & Utilities,Sale,59.99,
11/18/21,11/19/21,SPECTRUM,Bills & Utilities,Sale,59.99,
10/18/21,10/18/21,SPECTRUM,Bills & Utilities,Sale,59.99,
9/18/21,9/19/21,SPECTRUM,Bills & Utilities,Sale,59.99,
5/29/21,5/30/21,ALLTRAILS,Shopping,Sale,59.99,
6/2/21,6/3/21,WWW COSTCO COM,Shopping,Sale,60,
6/22/21,6/22/21,VCI*VITACOST.COM,Groceries,Sale,60.39,
7/11/21,7/12/21,TRADER JOE'S #206  QPS,Groceries,Sale,60.44,
11/24/21,11/26/21,CO-OPPORTUNITY,Groceries,Sale,61.62,
5/21/21,5/23/21,eBay O*11-07095-95029,Shopping,Sale,65.52,
12/8/21,12/10/21,CO-OPPORTUNITY,Groceries,Sale,66.41,
6/18/21,6/20/21,THE HOME DEPOT 603,Home,Sale,67.8,
6/23/21,6/24/21,EWING IRRIGATION PRD 61,Home,Sale,68.99,
12/22/21,12/23/21,ORGANIC PASTURES DAIRY C,Food & Drink,Sale,69.5,
12/23/21,12/24/21,APPLE.COM/BILL,Shopping,Sale,69.99,
12/19/21,12/20/21,LOWES #00907*,Home,Sale,69.99,
11/10/21,11/12/21,CO-OPPORTUNITY,Groceries,Sale,70,
3/9/21,3/10/21,US INTIMINA,Shopping,Sale,70,
12/15/21,12/17/21,CO-OPPORTUNITY,Groceries,Sale,72.41,
5/22/21,5/23/21,Amazon.com*2R5XY05V1,Shopping,Sale,73.35,
11/3/21,11/5/21,CO-OPPORTUNITY,Groceries,Sale,75.29,
4/7/21,4/8/21,SP * OK THE STORE,Shopping,Sale,75.5,
9/24/21,9/26/21,WHOLEFDS JAM 10231,Groceries,Sale,75.89,
11/30/21,12/1/21,BESTBUYCOM806535920496,Shopping,Sale,76.63,
10/14/21,10/15/21,AMZN Mktp US*2701J4Y91,Shopping,Sale,76.63,
12/24/21,12/26/21,THE HOME DEPOT 603,Home,Sale,77.19,
8/4/21,8/5/21,COYUCHI.COM,Home,Sale,77.5,
11/17/21,11/19/21,CO-OPPORTUNITY,Groceries,Sale,79.37,
6/21/21,6/22/21,IN *OK FINE FURNITURE  IN,Home,Sale,81.03,
8/25/21,8/27/21,CO-OPPORTUNITY,Groceries,Sale,81.11,
12/22/21,12/24/21,CO-OPPORTUNITY,Groceries,Sale,81.36,
12/17/21,12/19/21,THE HOME DEPOT 6689,Home,Sale,82.56,
8/18/21,8/19/21,AQUA-FLO SUPPLY INC #10,Home,Sale,83.05,
10/6/21,10/8/21,CO-OPPORTUNITY,Groceries,Sale,84.91,
10/7/21,10/8/21,AMZN Mktp US*279R80AL1,Shopping,Sale,85.32,
4/8/21,4/11/21,SP * LEVERCRAFT COFFEE,Groceries,Sale,87.34,
9/22/21,9/24/21,CO-OPPORTUNITY,Groceries,Sale,88,
11/19/21,11/22/21,SHOJIN CULVER CITY,Food & Drink,Sale,88.36,
6/16/21,6/17/21,SMART AND FINAL 735,Groceries,Sale,88.63,
8/25/21,8/25/21,eBay O*20-07513-56360,Shopping,Sale,88.7,
7/9/21,7/11/21,SPECTRUM,Bills & Utilities,Sale,89.98,
10/28/21,10/29/21,PAYPAL *NORTHBOUND,Groceries,Sale,90,
8/28/21,8/29/21,PAYPAL *NORTHBOUND,Groceries,Sale,90,
4/16/21,4/18/21,NORTON ELECTRIC WHOLESALE,Home,Sale,90.97,
9/16/21,9/19/21,SAKIOKA WHOLESALE NURSERY,Shopping,Sale,91.35,
3/31/21,4/1/21,SP * OLYMPIA COFFEE,Groceries,Sale,91.69,
4/27/21,4/28/21,ZAP*ZAPPOS.COM,Shopping,Sale,94.12,
5/12/21,5/13/21,WARBY PARKER,Health & Wellness,Sale,95,
8/18/21,8/18/21,Etsy.com - KateHaa,Shopping,Sale,95.54,
11/9/21,11/10/21,VCI*VITACOST.COM,Groceries,Sale,95.65,
2/12/21,2/12/21,ARC'TERYX EQUIPMENT,Shopping,Sale,97.45,
5/18/21,5/20/21,THE HOME DEPOT 6689,Home,Sale,98.34,
7/13/21,7/14/21,AMZN Mktp US*2E78K7J21,Shopping,Sale,98.54,
9/3/21,9/5/21,VCI*VITACOST.COM,Groceries,Sale,99.49,
12/13/21,12/14/21,WWW.WIFIDABBA.COM,Shopping,Sale,100,
8/8/21,8/9/21,RING MULTICAM YEARLY,Shopping,Sale,100,
2/19/21,2/21/21,RING MULTICAM YEARLY,Shopping,Sale,100,
1/29/21,1/31/21,RING MULTICAM YEARLY,Shopping,Sale,100,
8/8/21,8/9/21,TRADER JOE'S #037  QPS,Groceries,Sale,101.08,
3/25/21,3/26/21,UPS*1ZTN4B800338860828,Personal,Sale,102.49,
4/27/21,4/28/21,REI.COM,Shopping,Sale,104.48,
2/12/21,2/14/21,eBay O*04-06571-42556,Shopping,Sale,109.49,
2/23/21,2/24/21,SP * TORTOISEGENERALST,Home,Sale,110.9,
9/21/21,9/22/21,KOONTZ HARDWARE,Home,Sale,112.27,
6/2/21,6/4/21,SMART AND FINAL 315,Groceries,Sale,115.09,
2/23/21,2/24/21,DAILY JOURNAL CORP,Professional Services,Sale,117.25,
1/13/21,1/15/21,CO-OPPORTUNITY,Groceries,Sale,117.37,
11/18/21,11/21/21,THE HOME DEPOT 1048,Home,Sale,117.77,
10/28/21,10/29/21,HOT DOOR CADTOOLS,Shopping,Sale,124.5,
3/17/21,3/19/21,CO-OPPORTUNITY,Groceries,Sale,125,
7/12/21,7/16/21,GLOBAL-E.VIVOBAREFOOT,Shopping,Sale,127.64,
9/9/21,9/9/21,SP * PROTECTLY.CO,Shopping,Sale,128.25,
4/6/21,4/8/21,THE HOME DEPOT 649,Home,Sale,128.6,
6/23/21,6/24/21,EWING IRRIGATION PRD 19,Home,Sale,128.85,
11/12/21,11/12/21,Amazon Prime*IO1NI7IX3,Bills & Utilities,Sale,130.31,
2/11/21,2/11/21,ARC'TERYX EQUIPMENT,Shopping,Sale,131.4,
3/29/21,3/30/21,eBay O*22-06819-29331,Shopping,Sale,133.51,
4/5/21,4/6/21,HIRSCH PIPE &amp; SUPPLY 003,Home,Sale,134.62,
3/22/21,3/23/21,KAISER/HPS,Bills & Utilities,Sale,135.87,
6/19/21,6/21/21,SMCCD CORSAIR CONNECT,Education,Sale,140,
10/19/21,10/20/21,eBay O*14-07752-86883,Shopping,Sale,142.35,
9/16/21,9/17/21,IN *LULU FARMS  LLC,Home,Sale,147.08,
6/8/21,6/9/21,PAYPAL *NORTHBOUND,Groceries,Sale,148,
12/3/21,12/3/21,APPLE.COM/BILL,Shopping,Sale,149.99,
6/11/21,6/14/21,NAACP LEGAL DEFENSE AND E,Gifts & Donations,Sale,150,
7/13/21,7/14/21,ZORO TOOLS INC,Home,Sale,154.39,
9/22/21,9/24/21,VOLKSWAGEN SANTA MONIC,Automotive,Sale,156.49,
5/28/21,5/30/21,TRADER JOE'S #037  QPS,Groceries,Sale,162.27,
10/12/21,10/13/21,ADAFRUIT INDUSTRIES,Shopping,Sale,163.67,
8/5/21,8/6/21,AIRBNB  HMY5MCQ2DX,Travel,Sale,165.47,
8/17/21,8/19/21,MCMASTER-CARR,Home,Sale,173.54,
5/12/21,5/13/21,WARBY PARKER,Health & Wellness,Sale,175,
8/7/21,8/8/21,DECKERS*HOKA ONE ONE,Shopping,Sale,186.15,
4/28/21,4/29/21,LEICA CAMERA INC,Shopping,Sale,189.06,
8/7/21,8/8/21,AIRBNB  HMBRCTPSYE,Travel,Sale,226.18,
9/15/21,9/17/21,FK NURSERY INC,Home,Sale,229.95,
12/4/21,12/5/21,VCI*VITACOST.COM,Groceries,Sale,240.94,
8/6/21,8/8/21,EWING IRRIGATION PRD 19,Home,Sale,258.92,
3/26/21,3/28/21,THE HOME DEPOT 6689,Home,Sale,262.88,
7/5/21,7/6/21,PAYPAL *BODNARIUC,Professional Services,Sale,291,
4/16/21,4/16/21,HOOVER FENCE CO.,Home,Sale,326.43,
11/13/21,11/14/21,VESTA  *AT&amp;T PREPAID,Bills & Utilities,Sale,329.14,
12/21/21,12/22/21,S&amp;S SEEDS INC,Shopping,Sale,336.03,
9/24/21,9/26/21,APPLE STORE  #R146,Shopping,Sale,354.5,
6/9/21,6/10/21,HOUSE OF HARDWOOD LLC,Home,Sale,364.64,
7/15/21,7/15/21,eBay O*24-07351-44317,Shopping,Sale,410.63,
8/20/21,8/22/21,IDRINKCOFFEE.COM,Home,Sale,441.71,
3/10/21,3/11/21,CITY OF L A BOE INTERNET,Bills & Utilities,Sale,509.66,
8/31/21,9/1/21,SOUTHWEST ELECTRIC SUPLY,Home,Sale,554.26,
4/16/21,4/18/21,LEICA CAMERA INC,Shopping,Sale,623.1,
8/31/21,9/1/21,PATAGONIA BUILDING SUPPLI,Home,Sale,671.66,
6/26/21,6/27/21,FERGUSON ENT 571,Home,Sale,768.87,
2/23/21,2/25/21,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,910.15,
12/23/21,12/24/21,APPLE.COM/US,Shopping,Sale,970.43,
8/5/21,8/8/21,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,1034.92,
3/24/21,3/26/21,CLIPPERCREEK INC.,Shopping,Sale,2866.71,
10/27/21,10/27/21,APPLE.COM/US,Shopping,Sale,3507.91,