Miles,Mood,Smell,Item Subtotal
2,2,Trash,$0.01
,,,$0.01
,,,$0.45
,,,$0.78
,,,$1.25
,,,$1.65
,,,$1.99
,,,$2.03
,,,$2.04
,,,$2.25
,,,$2.46
,,,$2.65
,,,$2.99
,,,$3.14
,,,$3.32
,,,$3.75
,,,$3.87
,,,$3.95
,,,$3.98
,,,$3.99
,,,$3.99
,,,$3.99
,,,$3.99
,,,$4.15
,,,$4.15
,,,$4.25
,,,$4.32
,,,$4.38
,,,$4.43
,,,$4.45
,,,$4.56
,,,$4.56
,,,$4.64
,,,$4.69
,,,$4.70
,,,$4.80
,,,$4.84
,,,$4.85
,,,$4.99
,,,$4.99
,,,$5.00
,,,$5.12
,,,$5.17
,,,$5.27
,,,$5.29
,,,$5.35
,,,$5.46
,,,$5.49
,,,$5.50
,,,$5.63
,,,$5.63
,,,$5.80
,,,$5.89
,,,$5.95
,,,$5.97
,,,$5.98
,,,$5.98
,,,$5.99
,,,$5.99
,,,$5.99
,,,$5.99
,,,$5.99
,,,$6.09
,,,$6.13
,,,$6.29
,,,$6.39
,,,$6.44
,,,$6.44
,,,$6.48
,,,$6.48
,,,$6.48
,,,$6.49
,,,$6.49
,,,$6.49
,,,$6.50
,,,$6.56
,,,$6.57
,,,$6.62
,,,$6.69
,,,$6.72
,,,$6.75
,,,$6.77
,,,$6.80
,,,$6.83
,,,$6.84
,,,$6.87
,,,$6.96
,,,$6.98
,,,$6.98
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$6.99
,,,$7.03
,,,$7.08
,,,$7.26
,,,$7.29
,,,$7.43
,,,$7.43
,,,$7.47
,,,$7.52
,,,$7.55
,,,$7.56
,,,$7.71
,,,$7.75
,,,$7.75
,,,$7.85
,,,$7.87
,,,$7.93
,,,$7.93
,,,$7.94
,,,$7.95
,,,$7.95
,,,$7.95
,,,$7.95
,,,$7.95
,,,$7.96
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$7.99
,,,$8.00
,,,$8.00
,,,$8.00
,,,$8.00
,,,$8.20
,,,$8.29
,,,$8.39
,,,$8.49
,,,$8.49
,,,$8.50
,,,$8.62
,,,$8.63
,,,$8.64
,,,$8.68
,,,$8.75
,,,$8.77
,,,$8.86
,,,$8.89
,,,$8.93
,,,$8.95
,,,$8.95
,,,$8.96
,,,$8.98
,,,$8.99
,,,$8.99
,,,$8.99
,,,$8.99
,,,$9.01
,,,$9.05
,,,$9.08
,,,$9.13
,,,$9.16
,,,$9.18
,,,$9.20
,,,$9.29
,,,$9.31
,,,$9.32
,,,$9.39
,,,$9.44
,,,$9.49
,,,$9.51
,,,$9.58
,,,$9.68
,,,$9.83
,,,$9.83
,,,$9.85
,,,$9.89
,,,$9.91
,,,$9.95
,,,$9.95
,,,$9.95
,,,$9.95
,,,$9.96
,,,$9.96
,,,$9.96
,,,$9.96
,,,$9.98
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$9.99
,,,$10.00
,,,$10.05
,,,$10.10
,,,$10.21
,,,$10.23
,,,$10.25
,,,$10.29
,,,$10.30
,,,$10.43
,,,$10.43
,,,$10.48
,,,$10.48
,,,$10.49
,,,$10.50
,,,$10.53
,,,$10.54
,,,$10.57
,,,$10.60
,,,$10.61
,,,$10.63
,,,$10.69
,,,$10.75
,,,$10.75
,,,$10.75
,,,$10.76
,,,$10.78
,,,$10.87
,,,$10.87
,,,$10.87
,,,$10.88
,,,$10.90
,,,$10.95
,,,$10.95
,,,$10.95
,,,$10.98
,,,$10.98
,,,$10.99
,,,$10.99
,,,$11.00
,,,$11.01
,,,$11.06
,,,$11.09
,,,$11.15
,,,$11.15
,,,$11.17
,,,$11.19
,,,$11.23
,,,$11.25
,,,$11.27
,,,$11.28
,,,$11.30
,,,$11.31
,,,$11.40
,,,$11.43
,,,$11.47
,,,$11.52
,,,$11.52
,,,$11.57
,,,$11.57
,,,$11.61
,,,$11.62
,,,$11.65
,,,$11.75
,,,$11.82
,,,$11.82
,,,$11.87
,,,$11.88
,,,$11.88
,,,$11.92
,,,$11.95
,,,$11.95
,,,$11.95
,,,$11.96
,,,$11.98
,,,$11.98
,,,$11.99
,,,$11.99
,,,$11.99
,,,$12.00
,,,$12.14
,,,$12.16
,,,$12.16
,,,$12.16
,,,$12.18
,,,$12.37
,,,$12.44
,,,$12.45
,,,$12.48
,,,$12.49
,,,$12.56
,,,$12.57
,,,$12.59
,,,$12.60
,,,$12.64
,,,$12.66
,,,$12.66
,,,$12.70
,,,$12.71
,,,$12.76
,,,$12.88
,,,$12.90
,,,$12.90
,,,$12.90
,,,$12.91
,,,$12.94
,,,$12.95
,,,$12.95
,,,$12.95
,,,$12.97
,,,$12.98
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$12.99
,,,$13.08
,,,$13.09
,,,$13.14
,,,$13.23
,,,$13.24
,,,$13.25
,,,$13.36
,,,$13.40
,,,$13.40
,,,$13.41
,,,$13.44
,,,$13.48
,,,$13.49
,,,$13.55
,,,$13.59
,,,$13.59
,,,$13.68
,,,$13.70
,,,$13.76
,,,$13.81
,,,$13.86
,,,$13.88
,,,$13.88
,,,$13.88
,,,$13.95
,,,$13.95
,,,$13.95
,,,$13.98
,,,$13.98
,,,$13.98
,,,$13.99
,,,$13.99
,,,$13.99
,,,$13.99
,,,$13.99
,,,$13.99
,,,$13.99
,,,$13.99
,,,$13.99
,,,$14.00
,,,$14.14
,,,$14.24
,,,$14.28
,,,$14.35
,,,$14.37
,,,$14.38
,,,$14.40
,,,$14.45
,,,$14.45
,,,$14.46
,,,$14.50
,,,$14.63
,,,$14.65
,,,$14.66
,,,$14.67
,,,$14.69
,,,$14.72
,,,$14.76
,,,$14.84
,,,$14.91
,,,$14.92
,,,$14.93
,,,$14.95
,,,$14.95
,,,$14.95
,,,$14.95
,,,$14.97
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$14.99
,,,$15.03
,,,$15.04
3,5,Gravel,$15.07
,,,$15.10
,,,$15.18
,,,$15.18
,,,$15.25
,,,$15.33
,,,$15.44
,,,$15.47
,,,$15.65
,,,$15.69
,,,$15.70
,,,$15.72
,,,$15.73
,,,$15.78
,,,$15.79
,,,$15.86
,,,$15.90
,,,$15.93
,,,$15.94
,,,$15.94
,,,$15.96
,,,$15.97
,,,$15.98
,,,$15.99
,,,$15.99
,,,$16.00
,,,$16.05
,,,$16.09
,,,$16.10
,,,$16.18
,,,$16.20
,,,$16.23
,,,$16.28
,,,$16.31
,,,$16.48
,,,$16.49
,,,$16.49
,,,$16.69
,,,$16.69
,,,$16.71
,,,$16.73
,,,$16.80
,,,$16.81
,,,$16.83
,,,$16.87
,,,$16.88
,,,$16.91
,,,$16.95
,,,$16.95
,,,$16.96
,,,$16.98
,,,$16.98
,,,$16.99
,,,$16.99
,,,$16.99
,,,$16.99
,,,$16.99
,,,$17.00
,,,$17.00
,,,$17.10
,,,$17.11
,,,$17.38
,,,$17.45
,,,$17.47
,,,$17.57
,,,$17.70
,,,$17.71
,,,$17.80
,,,$17.81
,,,$17.83
,,,$17.84
,,,$17.86
,,,$17.89
,,,$17.96
,,,$17.98
,,,$17.99
,,,$17.99
,,,$17.99
,,,$18.00
,,,$18.00
,,,$18.21
,,,$18.28
,,,$18.31
,,,$18.31
,,,$18.42
,,,$18.44
,,,$18.47
,,,$18.56
,,,$18.67
,,,$18.68
,,,$18.73
,,,$18.81
,,,$18.83
,,,$18.95
,,,$18.96
,,,$18.97
,,,$18.99
,,,$18.99
,,,$18.99
,,,$18.99
,,,$19.02
,,,$19.05
,,,$19.11
,,,$19.22
,,,$19.30
,,,$19.38
4,4,Hoagie,$19.42
,,,$19.45
,,,$19.59
,,,$19.59
,,,$19.70
,,,$19.73
,,,$19.75
,,,$19.75
,,,$19.77
,,,$19.88
,,,$19.95
,,,$19.95
,,,$19.95
,,,$19.95
,,,$19.98
,,,$19.99
,,,$19.99
,,,$19.99
,,,$19.99
,,,$19.99
,,,$19.99
,,,$19.99
4.5,5,Hoagie,$19.99
,,,$19.99
,,,$19.99
,,,$19.99
,,,$20.00
,,,$20.02
,,,$20.14
,,,$20.14
,,,$20.18
,,,$20.20
,,,$20.41
,,,$20.72
,,,$20.77
,,,$20.84
,,,$20.95
,,,$20.99
,,,$20.99
,,,$21.00
,,,$21.12
,,,$21.15
,,,$21.17
,,,$21.17
,,,$21.23
,,,$21.28
,,,$21.50
,,,$21.51
,,,$21.56
,,,$21.60
,,,$21.63
,,,$21.77
,,,$21.94
,,,$21.96
,,,$21.98
,,,$21.98
,,,$21.99
,,,$21.99
,,,$22.00
,,,$22.00
,,,$22.00
4,1,Gravel,$22.29
,,,$22.35
,,,$22.35
,,,$22.38
,,,$22.39
,,,$22.46
,,,$22.50
,,,$22.54
,,,$22.57
,,,$22.58
,,,$22.80
,,,$22.89
,,,$22.94
,,,$22.97
,,,$22.97
,,,$22.98
,,,$22.98
,,,$22.99
,,,$22.99
,,,$22.99
,,,$22.99
,,,$22.99
,,,$23.04
,,,$23.05
,,,$23.14
,,,$23.27
,,,$23.29
,,,$23.32
,,,$23.32
,,,$23.36
,,,$23.36
,,,$23.40
,,,$23.53
,,,$23.55
,,,$23.56
,,,$23.79
,,,$23.93
,,,$23.95
,,,$23.98
,,,$23.99
,,,$23.99
,,,$23.99
,,,$23.99
,,,$24.01
,,,$24.19
,,,$24.49
,,,$24.49
,,,$24.56
,,,$24.68
,,,$24.78
,,,$24.85
,,,$24.86
,,,$24.90
,,,$24.92
,,,$24.95
,,,$24.95
,,,$24.97
,,,$24.97
,,,$24.97
,,,$24.99
,,,$24.99
,,,$24.99
,,,$24.99
,,,$24.99
,,,$24.99
,,,$25.00
,,,$25.00
,,,$25.00
,,,$25.00
,,,$25.00
,,,$25.00
,,,$25.03
,,,$25.10
,,,$25.12
,,,$25.49
,,,$25.59
,,,$25.70
,,,$25.71
,,,$25.74
,,,$25.75
,,,$25.78
,,,$25.80
,,,$25.82
,,,$25.83
,,,$25.84
,,,$25.97
,,,$25.97
,,,$25.99
,,,$26.21
,,,$26.29
,,,$26.35
,,,$26.40
,,,$26.64
,,,$26.90
,,,$26.93
,,,$26.99
,,,$27.15
,,,$27.25
,,,$27.29
,,,$27.44
,,,$27.55
,,,$27.70
,,,$27.84
,,,$27.84
,,,$27.90
,,,$27.94
,,,$27.96
,,,$27.98
,,,$27.99
,,,$28.00
,,,$28.00
,,,$28.10
,,,$28.16
,,,$28.28
,,,$28.29
,,,$28.64
,,,$28.66
,,,$28.75
,,,$29.00
,,,$29.00
,,,$29.58
,,,$29.59
,,,$29.63
,,,$29.68
,,,$29.82
,,,$29.95
,,,$29.95
,,,$29.97
,,,$29.98
,,,$29.98
,,,$29.98
,,,$29.98
,,,$29.98
,,,$29.99
,,,$29.99
,,,$29.99
,,,$29.99
,,,$29.99
,,,$30.00
,,,$30.09
,,,$30.51
,,,$30.55
,,,$30.98
,,,$31.00
,,,$31.04
,,,$31.26
,,,$31.46
,,,$31.48
,,,$31.49
,,,$31.58
,,,$31.89
,,,$31.93
,,,$31.96
,,,$31.98
,,,$31.98
,,,$31.99
,,,$32.00
,,,$32.00
,,,$32.10
,,,$32.28
,,,$32.34
,,,$32.37
,,,$32.50
,,,$32.56
,,,$32.89
,,,$32.95
,,,$32.99
,,,$32.99
,,,$33.08
,,,$33.27
,,,$33.46
,,,$33.75
,,,$33.90
,,,$33.92
,,,$33.92
,,,$33.93
,,,$33.95
,,,$33.96
,,,$33.96
,,,$33.96
,,,$33.99
,,,$34.00
,,,$34.03
,,,$34.16
,,,$34.52
,,,$34.80
,,,$34.89
,,,$34.92
,,,$34.95
,,,$34.99
,,,$34.99
,,,$35.00
,,,$35.00
,,,$35.89
,,,$35.92
,,,$36.00
,,,$36.00
,,,$36.42
,,,$36.49
,,,$36.50
,,,$36.64
,,,$36.67
,,,$36.75
,,,$36.83
,,,$36.90
,,,$37.03
,,,$37.29
,,,$37.38
,,,$37.43
,,,$37.95
,,,$38.18
,,,$38.41
,,,$38.76
3.5,1,Trash,$38.88
,,,$38.94
,,,$39.00
,,,$39.49
,,,$39.90
,,,$39.95
,,,$39.95
,,,$39.95
,,,$39.95
,,,$39.95
,,,$39.95
,,,$39.98
,,,$39.99
,,,$39.99
,,,$39.99
,,,$39.99
,,,$40.00
,,,$40.05
,,,$40.18
,,,$40.18
,,,$41.61
,,,$41.90
,,,$42.11
,,,$42.11
,,,$42.38
,,,$42.50
,,,$42.97
,,,$43.00
,,,$43.09
,,,$43.70
,,,$43.70
,,,$43.99
,,,$43.99
,,,$44.01
,,,$44.12
,,,$44.97
,,,$45.00
,,,$45.00
,,,$45.02
,,,$45.16
,,,$45.31
,,,$45.86
,,,$45.98
,,,$46.00
,,,$46.72
,,,$46.86
,,,$46.88
,,,$46.99
,,,$47.72
,,,$47.76
,,,$47.83
,,,$47.98
,,,$48.00
,,,$48.16
,,,$48.44
,,,$49.24
,,,$49.50
,,,$49.58
,,,$49.90
,,,$49.95
,,,$49.98
,,,$49.99
,,,$49.99
,,,$50.00
,,,$50.00
,,,$50.00
,,,$50.96
,,,$51.47
,,,$53.98
,,,$53.98
,,,$54.71
,,,$54.94
,,,$54.94
,,,$55.00
,,,$55.00
,,,$55.60
,,,$55.69
,,,$55.80
,,,$55.95
,,,$55.99
,,,$56.10
,,,$56.24
,,,$57.42
,,,$57.54
,,,$57.60
,,,$58.00
,,,$59.00
,,,$59.07
,,,$59.45
,,,$59.48
,,,$59.61
,,,$59.67
,,,$59.72
,,,$59.94
,,,$59.97
,,,$59.98
,,,$59.99
,,,$60.00
,,,$60.00
,,,$60.20
,,,$60.21
,,,$60.24
,,,$60.45
,,,$60.54
,,,$60.95
,,,$61.13
,,,$61.98
,,,$62.01
,,,$62.72
,,,$62.89
,,,$62.94
,,,$63.61
,,,$64.65
,,,$64.71
,,,$64.72
,,,$64.86
3,3,Hoagie,$64.88
,,,$64.88
,,,$64.99
,,,$65.00
,,,$65.58
,,,$66.50
,,,$66.58
,,,$66.89
,,,$66.99
,,,$66.99
,,,$67.00
,,,$67.02
,,,$67.37
,,,$67.80
,,,$67.96
,,,$67.96
,,,$67.96
,,,$67.96
,,,$68.32
,,,$68.58
,,,$68.70
,,,$69.99
,,,$71.22
,,,$71.55
,,,$71.68
,,,$71.94
,,,$72.13
,,,$72.48
,,,$73.13
,,,$73.80
,,,$74.98
,,,$75.90
,,,$76.00
,,,$77.76
,,,$79.48
,,,$79.92
,,,$79.95
,,,$79.99
,,,$80.34
,,,$80.46
,,,$81.11
,,,$81.37
,,,$81.96
,,,$82.35
,,,$82.91
,,,$83.08
,,,$83.14
,,,$84.99
,,,$87.51
,,,$87.93
,,,$88.38
,,,$88.57
,,,$89.17
,,,$89.64
,,,$89.98
,,,$89.99
,,,$89.99
,,,$90.00
,,,$90.30
,,,$92.76
,,,$95.98
,,,$95.99
,,,$98.01
,,,$98.51
,,,$99.75
,,,$99.80
,,,$99.93
,,,$99.95
,,,$99.95
,,,$100.00
,,,$100.00
,,,$100.44
,,,$100.99
,,,$103.98
,,,$107.52
,,,$108.84
,,,$109.13
,,,$109.98
,,,$111.00
,,,$111.48
,,,$115.28
,,,$116.82
,,,$118.97
,,,$118.99
,,,$119.96
,,,$120.60
,,,$121.87
,,,$124.09
,,,$124.99
,,,$125.99
,,,$126.36
,,,$127.22
,,,$127.96
,,,$129.00
,,,$130.76
,,,$131.43
,,,$132.00
,,,$132.20
,,,$133.32
,,,$135.00
,,,$135.76
,,,$135.92
,,,$137.50
,,,$139.94
,,,$141.00
,,,$141.64
,,,$145.82
,,,$147.96
,,,$149.00
,,,$149.15
,,,$150.95
,,,$155.90
,,,$159.00
,,,$159.95
,,,$167.25
,,,$169.70
,,,$169.95
,,,$169.99
,,,$169.99
,,,$173.60
,,,$175.40
,,,$178.50
,,,$179.96
,,,$189.99
,,,$190.11
,,,$190.99
,,,$191.98
,,,$196.14
,,,$198.15
,,,$199.00
,,,$199.99
,,,$213.90
,,,$214.98
,,,$219.95
,,,$223.85
,,,$230.25
,,,$234.15
,,,$241.88
,,,$250.42
,,,$295.00
,,,$299.00
,,,$323.95
,,,$326.97
,,,$349.99
,,,$349.99
,,,$385.00